freer-simple,0 layers,1.0821036502352624e-4,1.0766324943835075e-4,1.0965969149993938e-4
freer-simple,1 layers,1.2725286732391994e-4,1.2670831239559123e-4,1.2783979447467944e-4
freer-simple,5 layers,2.2802008341560976e-4,2.2626788169655338e-4,2.3060997477895623e-4
freer-simple,10 layers,3.1139056155460564e-4,3.098476734814807e-4,3.140091637652417e-4
freer-simple,20 layers,4.634154522714188e-4,4.6110574402110445e-4,4.663181333061574e-4
fused-effects,0 layers,1.6277877941699585e-4,1.6195952738333257e-4,1.6465248516293307e-4
fused-effects,1 layers,1.591190423849773e-4,1.5864696435938705e-4,1.596369406360526e-4
fused-effects,5 layers,1.7459732391757594e-4,1.739086718874879e-4,1.7544347505573223e-4
fused-effects,10 layers,1.7931850739406042e-4,1.787835444689141e-4,1.798693314602942e-4
fused-effects,20 layers,1.974270452008066e-4,1.96425451869633e-4,1.9900668847905602e-4
mtl,0 layers,4.9925354710385834e-5,4.975345354162594e-5,5.0109135816622696e-5
mtl,1 layers,5.0640752226005724e-5,5.0522972560110966e-5,5.08095540979626e-5
mtl,5 layers,5.0993043194777424e-5,5.046950939578422e-5,5.287915357592261e-5
mtl,10 layers,5.1234286250806374e-5,5.1007141535412515e-5,5.1695598875467736e-5
mtl,20 layers,5.096926761219689e-5,5.076135807508372e-5,5.162672497521665e-5
simple-effects,0 layers,5.852922170376044e-5,5.832279433161001e-5,5.887244992799392e-5
simple-effects,1 layers,9.508260448704364e-5,9.477441744681758e-5,9.562506753733994e-5
simple-effects,5 layers,2.761998017630117e-4,2.74598817686653e-4,2.8034671092003004e-4
simple-effects,10 layers,7.074000599295569e-4,7.024324044388794e-4,7.22260427182266e-4
simple-effects,20 layers,1.8509996088353373e-3,1.8417715131540753e-3,1.8623271005083104e-3
