simple-effects,1 files,2.1274234432645603e-6,2.1187578862501266e-6,2.144271281207504e-6
simple-effects,10 files,2.153621680297846e-5,2.14047593283229e-5,2.1711393886399455e-5
simple-effects,100 files,2.1399762412465208e-4,2.1329132736533417e-4,2.1518701128968445e-4
freer-simple,1 files,1.4252385942315525e-6,1.4188680880587438e-6,1.4332482805075418e-6
freer-simple,10 files,1.385301973811039e-5,1.3805294569793319e-5,1.3904153651631158e-5
freer-simple,100 files,1.4196202319442368e-4,1.4128647170969655e-4,1.43375331795551e-4
fused-effects,1 files,1.4409988520360045e-6,1.433098348501114e-6,1.4572938354087114e-6
fused-effects,10 files,1.3735190875960145e-5,1.368154027373169e-5,1.3811752938567845e-5
fused-effects,100 files,1.3789254927180903e-4,1.3746385523585156e-4,1.3848600492494451e-4
mtl,1 files,1.1927939554204375e-6,1.1897810755303602e-6,1.1972192965555635e-6
mtl,10 files,1.1736487890545045e-5,1.1690132300620278e-5,1.1800901369895328e-5
mtl,100 files,1.170672135506707e-4,1.1664738801032195e-4,1.1758632390196944e-4
Reference,1 files,1.0649990108453725e-6,1.0604599150210829e-6,1.0716945928835546e-6
Reference,10 files,1.0839032993090286e-5,1.0808665711729308e-5,1.0875697145312481e-5
Reference,100 files,1.0831759225048028e-4,1.0798112302926178e-4,1.0868117443677995e-4
